,0
0,electric_arc
1,far_and_away
2,much_of
3,settlement_agreement
4,went_to
5,and_other
6,south_atlantic
7,drug_use
8,money_laundering
9,focal_point
10,executive_producer
11,late_november
12,red_sea
13,tony_blair
14,day_in
15,coeliac_disease
16,radio_sources
17,brick_making
18,plan_for
19,it_and
20,not_just
21,of_waves
22,just_as
23,george_vi
24,young_and
25,advisory_panel
26,british_prime
27,stay_on
28,cold_war
29,north_side
30,mikhail_gorbachev
31,group_of
32,domain_name
33,last_night
34,foreign_minister
35,deep_space
36,going_back
37,in_russia
38,in_return
39,has_to
40,postal_ballot
41,everglades_national_park
42,coming_at
43,took_part
44,have_more
45,even_better
46,hockey_league
47,soviet_bloc
48,make_use_of
49,south_asia
50,we_are
51,day_of
52,rescue_mission
53,in_april
54,him_or_her
55,football_club
56,dodge_ram
57,joined_in
58,few_points
59,file_in
60,search_for
61,western_australian
62,polish_parliaments
63,more_of
64,as_if
65,died_on
66,falkland_islanders
67,at_present
68,crime_in
69,for_artists
70,prime_minister
71,increase_pressure
72,and_fire
73,kentucky_fried
74,for_real
75,rather_than
76,brought_about
77,latin_america
78,air_attack
79,naval_battle
80,addition_to
81,foreign_office
82,john_paul_ii
83,four_year
84,smoking_pot
85,world_war_ii
86,leave_in
87,who_are
88,freedom_of_speech
89,not_work
90,operating_income
91,one_place
92,in_california
93,referring_to
94,small_number
95,international_trade
96,large_number
97,first_two
98,quarter_of
99,homeless_people
100,blue_mountains
101,of_china
102,another_person
103,front_porch
104,on_to
105,other_sexual
106,american_league
107,serial_killer
108,war_crimes
109,away_from
110,will_win
111,human_genome_project
112,work_with
113,for_student
114,warsaw_pact
115,can_be
116,research_center
117,on_top
118,heart_disease
119,action_and
120,united_states
121,two_of
122,and_also
123,widely_known
124,in_trade
125,tended_to
126,san_andreas
127,san_jose
128,rein_in
129,for_oil
130,and_dry
131,junior_high
132,and_that
133,met_with
134,wolfgang_amadeus_mozart
135,of_being
136,relief_agencies
137,live_on
138,in_all
139,elliptical_shape
140,state_of
141,heavy_rains
142,of_water
143,big_bang
144,asylum_seekers
145,kraft_foods
146,steel_manufacturer
147,of_music
148,ice_hockey
149,in_uk
150,is_as
151,san_francisco
152,had_to
153,president_bush
154,expected_to
155,majority_of
156,on_that
157,winter_olympic_games
158,up_against
159,pickup_trucks
160,fill_out
161,high_standards
162,former_soviet_union
163,trying_to_understand
164,prison_sentence
165,both_have
166,alfred_nobel
167,lives_in
168,on_her
169,black_bears
170,many_years
171,speak_freely
172,carbon_tetrachloride
173,internet_forum
174,result_of
175,risk_management
176,two_countries
177,amazon_basin
178,republic_of_china
179,german_democratic_republic
180,stabbed_to_death
181,federal_state
182,in_washington
183,fiscal_year
184,ground_forces
185,ozone_layer
186,sci_fi
187,one_small
188,looking_for
189,national_convention
190,end_of
191,conservative_party
192,gets_out
193,climb_up
194,instead_of
195,western_united_states
196,last_day
197,people_living
198,take_over
199,prefer_to
200,in_any_way
201,stand_down
202,falkland_islands
203,taking_action
204,looks_for
205,trade_in
206,air_lines
207,followed_on
208,fast_food
209,such_as
210,war_in
211,thrift_store
212,after_years
213,military_service
214,introduction_of
215,have_to_eat
216,be_happy
217,worried_about
218,study_of
219,days_after
220,attack_on
221,almost_certainly
222,took_over
223,government_officials
224,contact_with
225,war_veterans
226,gold_medal
227,world_record
228,governor_of_california
229,southern_europe
230,most_commonly
231,as_soon_as
232,last_years
233,up_to
234,sleep_in
235,associated_with
236,each_other
237,little_of
238,high_mountains
239,per_cent
240,wind_turbines
241,make_money
242,are_made
243,death_penalty
244,summer_games
245,do_not
246,in_addition_to
247,henry_viii
248,this_morning
249,there_has_been
250,national_hockey_league
251,bill_clinton
252,in_prison
253,threw_out
254,we_have
255,also_used
256,antarctic_peninsula
257,on_par
258,made_in
259,political_parties
260,black_tea
261,belongs_to
262,volcano_eruption
263,crime_and
264,up_with
265,rock_formations
266,eat_up
267,home_schooling
268,used_in
269,town_in
270,railway_line
271,would_not
272,ready_to
273,hunt_and
274,ronald_reagan
275,in_that
276,power_station
277,life_support
278,passing_through
279,of_rain
280,news_magazine
281,son_of_king
282,price_of
283,in_israel
284,he_has
285,came_after
286,king_of
287,way_of_life
288,out_in
289,home_in
290,ballistic_missile
291,way_to
292,in_laboratory
293,wabash_county
294,take_part
295,top_quarks
296,weak_nuclear
297,pieces_of_music
298,for_best
299,law_enforcement
300,turned_down
301,parts_of
302,european_council
303,interplanetary_space
304,along_with
305,rain_forest
306,greenhouse_gas
307,radio_telescopes
308,of_oxygen
309,long_period
310,making_off_with
311,european_economic_area
312,luther_king
313,10_years
314,high_school
315,book_of
316,of_people
317,first_emperor
318,animals_which
319,motion_picture
320,capital_intensive
321,get_into
322,how_to
323,now_that
324,tree_farms
325,heart_attack
326,elizabeth_ii
327,of_state
328,first_meeting
329,trade_deficit
330,white_and
331,gas_and
332,works_for
333,party_leader
334,pointing_out
335,best_seller
336,in_spain
337,black_hole
338,got_started
339,being_best
340,increase_by
341,thinking_about
342,magic_realism
343,month_after
344,in_march
345,square_in
346,food_is
347,may_not
348,america_is
349,set_to
350,seen_in
351,foot_on
352,czech_republic
353,home_team
354,sexual_abuse
355,in_hospitals
356,us_army
357,in_new_york
358,reported_on
359,might_be
360,run_by
361,poured_into
362,point_of
363,due_to
364,gathering_herbs
365,forest_guard
366,struck_off
367,i_was
368,sloughed_off
369,no_one
370,small_town
371,military_action
372,in_november
373,played_in
374,leaning_tower
375,together_with
376,people_read
377,on_behalf_of
378,fundamental_particles
379,tropical_storms
380,see_through
381,high_profile
382,dry_air
383,of_computer
384,mobile_phone
385,move_into
386,make_use
387,christian_democrat
388,lightning_strike
389,world_war
390,carried_out
391,neil_armstrong
392,every_night
393,tape_recording
394,in_india
395,federal_district
396,woman_who
397,house_minority_leader
398,feed_on
399,deal_with
400,french_food
401,south_florida
402,in_honor_of
403,hammer_throw
404,court_order
405,even_though
406,baptist_church
407,government_program
408,european_parliament
409,related_to
410,movie_studio
411,by_telephone
412,there_is
413,trade_gap
414,as_well
415,strong_minded
416,regardless_of
417,wooden_table
418,british_columbia
419,national_park
420,square_mile
421,and_large
422,was_once
423,and_water
424,of_use
425,economic_area
426,half_of
427,south_korea
428,snow_skiing
429,bring_about
430,computer_terminal
431,generic_drug
432,new_technology
433,have_had
434,european_union
435,trees_in
436,days_in
437,being_used
438,steps_to
439,longer_period
440,in_china
441,auction_houses
442,green_party
443,patent_infringement
444,more_popular
445,bone_dry
446,red_planet
447,standard_model
448,house_bid
449,man_who
450,ability_to
451,people's_republic
452,research_laboratory
453,out_to
454,court_of_justice
455,world_records
456,bathing_in
457,fire_departments
458,greenhouse_effect
459,in_paris
460,head_of_government
461,lifting_off
462,police_work
463,value_of
464,air_bag
465,heavy_industry
466,history_of
467,shut_down
468,house_of
469,public_places
470,operating_system
471,back_to_back
472,knowledge_of
473,aimed_at
474,break_down
475,make_contact
476,washington_dc
477,sea_birds
478,federal_court
479,of_it
480,nuclear_power
481,national_trust
482,labor_party
483,in_orbit
484,no_idea
485,gotthold_ephraim_lessing
486,for_windows
487,of_food
488,setting_out
489,communist_party
490,pope_john
491,turned_up
492,top_of
493,osama_bin_laden
494,technical_university
495,place_from
496,interfere_with
497,looks_up
498,there_has
499,social_workers
500,broke_out
501,saint_lawrence
502,access_to
503,san_salvador
504,new_buildings
505,time_and
506,used_to
507,because_of
508,body_blow
509,order_of
510,salt_lake
511,property_of
512,hundreds_of_thousands
513,in_addition
514,all_that
515,world_trade
516,coming_of_age
517,election_day
518,solar_system
519,don't_think
520,population_growth
521,social_democrats
522,north_american
523,it_has
524,weak_nuclear_forces
525,decide_how
526,in_mexico
527,very_difficult
528,visiting_professor
529,cream_of
530,apart_from
531,similar_to
532,lay_in
533,with_his
534,storey_county
535,pay_for
536,for_information
537,chicago_white_sox
538,relative_to
539,us_president
540,gaining_ground
541,work_and
542,that_is
543,first_prize
544,space_for
545,south_wales
546,on_behalf
547,opposed_to
548,given_to
549,causes_of_death
550,letter_bomb
551,in_this
552,stock_exchange
553,fighting_in
554,red_carpet
555,of_king
556,joint_venture
557,african_elephant
558,last_year
559,burkina_faso
560,progressive_conservative
561,military_equipment
562,music_and
563,armed_forces
564,steel_making
565,stay_here
566,will_not
567,david_cameron
568,in_canada
569,takes_care_of
570,set_up
571,art_and
572,utility_player
573,feel_angry
574,penalty_shootout
575,step_on
576,million_people
577,many_species
578,intensive_care_unit
579,oil_spill
580,eating_and_drinking
581,tower_of_pisa
582,african_elephants
583,executive_order
584,french_government
585,phonetic_transcription
586,in_money
587,falls_in
588,thus_far
589,major_part
590,broke_into
591,less_than
592,police_investigators
593,small_heath
594,usa_today
595,may_cut
596,can_eat
597,military_organization
598,national_team
599,car_bomb
600,arrived_at
601,tiles_on
602,franz_liszt
603,very_popular
604,once_more
605,of_all
606,first_year
607,in_making
608,special_effects
609,could_have
610,10_hours
611,barrier_reef
612,lived_in
613,user_interface
614,boys_and_girls
615,comes_after
616,synthetic_rubber
617,open_land
618,limited_to
619,way_of
620,fiber_optic_cable
621,so_that
622,water_can
623,in_choir
624,make_up
625,so_many
626,brigham_young_university
627,of_two
628,opening_up
629,national_wildlife
630,beauty_contests
631,nuclear_power_station
632,qin_dynasty
633,in_wales
634,sleeping_in
635,house_of_representatives
636,salt_lake_city
637,according_to
638,comprised_of
639,fried_chicken
640,people_live
641,peace_treaty
642,peace_and
643,should_be
644,peace_talks
645,mainland_china
646,dogs_are
647,city_state
648,leaning_against
649,world_cup
650,finishes_with
651,us_government
652,high_cost
653,came_into
654,in_britain
655,in_united_states
656,able_to
657,world_population
658,president_of_iran
659,most_countries
660,thermal_power
661,steel_plant
662,population_in
663,master_of
664,and_seven
665,broadband_connection
666,unanimous_vote
667,take_up
668,and_to
669,years_ago
670,as_well_as
671,fence_in
672,being_defeated
673,agree_to
674,plan_to
675,new_line
676,worked_for
677,saudi_arabia
678,john_cage
679,of_tin
680,making_it
681,customer_service
682,in_favour_of
683,ability_to_see
684,put_forward
685,living_in
686,set_foot
687,energy_secretary
688,bank_of_england
689,tobacco_companies
690,some_of
691,be_able_to
692,warm_day
693,soviet_union
694,chairman_of
695,human_being
696,head_of
697,have_all
698,he_is
699,could_have_been
700,has_been
701,bear_attack
702,to_a
703,french_language
704,budget_for
705,in_romania
706,in_world
707,local_government
708,one_of
709,it_was
710,one_in
711,basic_knowledge
712,rock_band
713,drop_in
714,free_will_baptist
715,nobel_laureate
716,one_tenth
717,activity_in
718,focused_on
719,storm_in
720,south_west
721,city_council
722,half_moon
723,use_of
724,hockey_team
725,war_in_iraq
726,ultraviolet_light
727,world_famous
728,would_be
729,money_in
730,fiber_optic
731,growth_rate
732,nudie_suit
733,american_civil_war
734,los_angeles
735,botanical_gardens
736,hole_in
737,in_december
738,returned_to
739,most_of
740,space_agency
741,intensive_care
742,in_hawaii
743,in_place
744,thin_steel
745,and_then
746,that_there
747,in_holland
748,opera_house
749,new_year's
750,have_not
751,support_system
752,period_of
753,this_time
754,paid_for
755,new_orleans
756,european_country
757,on_march
758,air_traffic
759,tales_of
760,pan_am
761,most_important
762,stephen_hawking
763,modes_of_transport
764,aside_from
765,requiem_mass
766,concerned_about
767,top_quark
768,terminally_ill
769,feral_child
770,general_elections
771,was_for
772,close_to
773,in_london
774,human_beings
775,live_in
776,one_man
777,of_work
778,digital_cameras
779,hundreds_of
780,secretary_general
781,next_to
782,arnold_schwarzenegger
783,out_of
784,major_league
785,of_art
786,falklands_war
787,wild_turkey
788,young_men
789,production_cost
790,in_illinois
791,except_for
792,social_security
793,offices_in
794,you_are
795,henry_ford
796,lds_church
797,in_america
798,high_schools
799,once_in
800,thanks_to
801,conscientious_objectors
802,democratic_government
803,beginning_of
804,eat_fish
805,body_weight
806,cargo_ship
807,place_in
808,is_not
809,all_of
810,come_to
811,home_of
812,weather_phenomenon
813,nuclear_waste
814,house_of_commons
815,work_on
816,richter_scale
817,power_plant
818,hubble_telescope
819,summer_olympics
820,progressive_rock
821,in_for
822,for_all
823,intent_on
824,place_on
825,buzz_aldrin
826,back_in
827,not_even
828,prevent_flooding
829,back_to
830,carboniferous_period
831,stretch_to
832,first_floor
833,and_away
834,body_of_water
835,in_farm
836,spare_parts
837,birds_in
838,first_half
839,find_out_what
840,middle_of
841,medical_school
842,is_worth
843,east_asian
844,hands_with
845,hard_hit
846,age_of
847,news_conference
848,family_planning
849,more_efficient
850,park_on
851,olympic_games
852,charles_de_gaulle
853,lava_tube
854,at_least
855,prehistoric_times
856,but_for
857,young_women
858,part_of
859,liberal_party
860,went_down
861,earlier_on
862,military_personnel
863,of_age
864,have_purchased
865,new_york
866,may_be
867,addis_ababa
868,early_today
869,moving_to
870,federal_official
871,economic_development
872,which_is
873,fort_dodge
874,adjunct_professor
875,former_president
876,work_for
877,flowers_in
878,too_much_of
879,form_of
880,new_plan
881,mobile_device
882,democratic_party
883,made_from
884,may_have
885,four_years
886,in_italy
887,to_the
888,much_less
889,county_government
890,entry_level
891,christian_democratic
892,rapid_growth
893,reach_over
894,first_woman
895,british_government
896,raise_funds
897,cough_syrup
898,so_far
899,asking_for
900,carve_out
901,route_66
902,one_month
903,south_africa
904,find_out
905,all_cars
906,not_much
907,great_barrier_reef
908,bush_fires
909,designed_for_children
910,eastern_europe
911,in_queensland
912,no_longer
913,black_bear
914,sex_education
915,consisted_of
916,want_to
917,weather_satellites
918,second_world
919,care_of
920,innocent_people
921,very_strong
922,deaf_people
923,scrap_metal
924,responsible_for
925,green_and_black
926,political_party
927,for_goods
928,prison_term
929,of_trees
930,stuff_in
931,first_time
932,time_on
933,geographical_area
934,based_on
935,called_by
936,gertrude_stein
937,account_for
938,buildings_have
939,peace_agreement
940,have_enough
941,wood_is
942,too_much
943,break_in
944,local_time
945,is_to_be
946,been_developed
947,look_at
948,we_do
949,into_effect
950,two_men
951,attorney_general
952,minority_leader
953,10_people
954,worked_at
955,population_of
956,it_in
957,two_children
958,diplomatic_relations
959,meeting_with
960,in_iraq
961,market_share
962,visible_light
963,there_was
964,fbi_agent
965,air_raids
966,los_angeles_county
967,duke_of
968,after_summer
969,qing_dynasty
970,this_year
971,abortion_rights
972,and_found
973,gobbling_up
974,grass_and
975,took_place
976,in_europe
977,of_universe
978,got_married
979,gulf_war
980,vladimir_putin
981,for_children
982,cuts_in
983,tournaments_played
984,republican_national_convention
985,gathering_of
986,short_of
987,san_andreas_fault
988,professional_association
989,cd_burner
990,hundred_thousand
991,allowed_to
992,el_salvador
993,filled_in
994,spoken_language
995,foreign_investment
996,going_to
997,large_number_of
998,white_house
999,lived_with
1000,in_japan
1001,better_known
1002,are_not
1003,from_china
1004,going_to_work
1005,world_trade_organization
1006,jewish_law
1007,being_able_to
1008,clear_cut
1009,moving_forward
1010,came_to
1011,just_as_soon
1012,went_up
1013,stephen_harper
1014,light_and
1015,popular_vacation
1016,all_sports
1017,in_english
1018,illegal_drugs
1019,way_back
1020,return_for
1021,given_birth
1022,used_for
1023,on_saturday
1024,three_people
