,0
0,social_security
1,parkinson's_disease
2,early_1990s
3,first_woman
4,extreme_fear
5,he_did
6,fear_of
7,in_palm
8,maternity_leave
9,house_of_commons
10,people_think
11,on_saturday
12,some_people
13,in_present
14,like_to
15,widely_considered
16,on_paper
17,latin_america
18,poor_people
19,took_care_of
20,gold_medals
21,end_all
22,two_countries
23,keynote_address
24,step_on
25,not_yet
26,birth_rates
27,deal_with
28,in_china
29,pope_john
30,for_poor
31,gaining_ground
32,social_democratic_party
33,each_other
34,searching_for
35,house_and
36,just_as
37,accounts_to
38,air_strikes
39,look_like
40,as_soon_as
41,european_union
42,zero_degrees
43,papua_new_guinean
44,interested_in
45,hear_and
46,art_objects
47,related_to
48,operate_on
49,approve_of
50,advisory_board
51,a_an
52,just_on
53,there_were
54,meeting_with
55,in_paris
56,this_morning
57,piece_of
58,thanks_to
59,yasser_arafat
60,not_just
61,labour_saving
62,oil_companies
63,history_books
64,black_holes
65,los_angeles
66,put_pressure
67,lie_around
68,walk_on
69,nothing_to_do
70,john_paul_ii
71,in_that
72,it_on
73,stock_exchange
74,drinking_water
75,but_also
76,time_and
77,alzheimer's_disease
78,along_with
79,liberal_party
80,north_american
81,menu_bar
82,in_world
83,african_elephants
84,princess_of_wales
85,social_stigma
86,doing_what
87,long_period
88,westminster_abbey
89,block_of_flats
90,much_smaller
91,everglades_national_park
92,of_grass
93,mental_health
94,park_bench
95,theoretical_physicist
96,personal_name
97,interest_rate
98,and_development
99,member_states
100,world_championship
101,go_back
102,buenos_aires
103,far_east
104,in_building
105,is_as
106,news_agency
107,all_children
108,signed_in
109,son_of_king
110,lives_in
111,little_known
112,united_states_military
113,art_dealer
114,shrugged_off
115,become_popular
116,clear_sky
117,knowledge_of
118,first_half
119,falklands_war
120,take_action
121,hot_gas
122,amazon_basin
123,child_abuse
124,south_georgia
125,house_of_assembly
126,passing_through
127,group_of
128,fight_against
129,get_sick
130,named_for
131,arabic_language
132,war_and
133,police_investigators
134,there_are
135,and_then
136,second_generation
137,automotive_industry
138,in_november
139,familiar_with
140,set_of
141,mad_cow_disease
142,car_crash
143,in_two
144,stay_in
145,takes_place
146,saudi_arabia
147,i_am
148,parts_of
149,people_and_people
150,new_guinean
151,less_than_three
152,came_about
153,to_the
154,with_his
155,for_that
156,change_of_heart
157,arab_league
158,is_now
159,salvador_dali
160,working_on
161,urban_area
162,power_of
163,joint_venture
164,long_for
165,come_across
166,amazon_rainforest
167,have_had
168,progressive_party
169,giving_birth
170,gotthold_ephraim_lessing
171,attracted_to
172,take_advantage_of
173,working_together
174,be_able
175,kicked_off
176,side_effects
177,tamil_tiger
178,could_have
179,andy_warhol
180,civil_rights
181,in_case_of
182,in_battle
183,all_of
184,central_intelligence_agency
185,war_criminals
186,per_cent
187,body_of_water
188,ways_in
189,central_intelligence
190,apply_for
191,walt_disney
192,you_have
193,owned_by
194,shows_off
195,allowed_to
196,100_years
197,queen_elizabeth
198,residing_in
199,moving_to
200,nutritious_food
201,rio_de_janeiro
202,trade_in
203,in_passing
204,commit_suicide
205,it_is
206,only_in
207,had_to
208,top_end
209,like_for
210,young_children
211,alfred_hitchcock
212,imposed_upon
213,united_states
214,ways_and_means
215,we_are
216,trades_in
217,used_for
218,people's_republic
219,elementary_particles
220,shook_up
221,focus_on
222,in_one_case
223,novel_approach
224,court_decision
225,human_rights_group
226,take_part_in
227,fatal_disease
228,for_sale
229,that_which
230,board_members
231,ahead_of
232,serious_injury
233,focused_on
234,bright_light
235,european_commission
236,armed_forces
237,cost_of
238,american_journalist
239,cultural_identity
240,pick_up
241,in_public
242,slash_and_burn
243,lightly_armed
244,many_of
245,living_in
246,rolled_out
247,death_throes
248,each_side
249,in_need_of
250,digging_in
251,young_people
252,horse_riding
